epiweek,anio,denguecases
1,2023,140
2,2023,118
3,2023,133
4,2023,106
5,2023,156
6,2023,108
7,2023,99
8,2023,94
9,2023,89
10,2023,69
11,2023,81
12,2023,56
13,2023,57
14,2023,53
15,2023,105
16,2023,76
17,2023,88
18,2023,85
19,2023,92
20,2023,90
21,2023,76
22,2023,75
23,2023,122
24,2023,142
25,2023,176
26,2023,217
27,2023,242
28,2023,236
29,2023,343
30,2023,417
31,2023,510
32,2023,543
33,2023,549
34,2023,577
35,2023,625
36,2023,630
37,2023,626
38,2023,623
39,2023,601
40,2023,661
41,2023,600
42,2023,534
43,2023,444
44,2023,487
45,2023,521
46,2023,555
47,2023,682
48,2023,728
49,2023,760
50,2023,647
51,2023,549
52,2023,184
53,2024,540
54,2024,335
55,2024,460
56,2024,406
57,2024,363
58,2024,269
59,2024,296
60,2024,216
61,2024,175
62,2024,178
63,2024,160
64,2024,174
65,2024,147
66,2024,149
67,2024,159
68,2024,176
69,2024,108
70,2024,145
71,2024,187
72,2024,199
73,2024,205
74,2024,211
75,2024,262
76,2024,382
77,2024,534
78,2024,637
79,2024,778
80,2024,895
81,2024,1148
82,2024,1272
83,2024,1348
84,2024,270
85,2024,1326
86,2024,1138
